Freelance Pricing & Profit Calculator (LITE),,,,
"Free preview — the full version (Google Sheets + Excel with live formulas, plus the client tracker) is available at checkout.",,,,
,,,,
INPUTS,,,,
Project name,Example: Brand logo + guidelines,,,
Estimated hours,20,,,
Your target hourly rate (USD),75,,,
Direct expenses (stock, tools, contractors),120,,,
Target profit margin (%),25,,,
,,,,
CALCULATED (recreate these formulas in your sheet),,,,
Labor cost,= hours * hourly rate,1500,,
Base cost,= labor cost + expenses,1620,,
Recommended price,= base cost / (1 - margin%),2160,,
Profit,= recommended price - base cost,540,,
Real profit per hour,= profit / hours,27,,
,,,,
CLIENT TRACKER (full version includes this as a second tab),,,,
Client,Project,Status,Invoiced,Paid
Example Co,Brand logo,In progress,2160,0
