Bookkeeper Pricing & Package Calculator (LITE),,,,
"Free preview — the full version (Google Sheets + Excel with live formulas, plus the client profitability tracker) is available at checkout.",,,,
,,,,
INPUTS,,,,
Package tier name,Example: Starter (up to 50 tx/mo),,,
Clients on this tier,8,,,
Monthly hours per client,3,,,
Your target hourly rate (USD),50,,,
Total monthly overhead (software subscriptions + E&O insurance),400,,,
Target profit margin (%),30,,,
,,,,
CALCULATED (recreate these formulas in your sheet),,,,
Labor cost / client,= hours/client * hourly rate,150,,
Overhead / client,= total overhead / clients on tier,50,,
Base cost / client,= labor cost + overhead,200,,
Recommended monthly package price,= base cost / (1 - margin%),285.71,,
Effective hourly rate,= price / hours per client,95.24,,
Profit / client,= price - base cost,85.71,,
Total monthly profit (this tier),= profit/client * clients on tier,685.71,,
,,,,
CLIENT PROFITABILITY (full version includes this as a second tab),,,,
Client,Package,Monthly Fee,Actual Hours,Effective Rate
Larkspur Landscaping LLC,Starter,285.71,3.5,81.63
